Unit Serial Number,Source,Reason Code,"Time in Field (Looker, days)",WOM,Device/PSU,Result/Status,Root Cause,Failure Category,Notes
GGB21E0A33650470,EFFA Tracking,Stuck Flashing white LED,697,2336,Device,Resolved,dhclient fails when system clock is near max uint32,Software / Configuration,No OTA updates since 12/15/23; customer has generator during power outages
GGB21E0A336203VP,EFFA Tracking,Will not get a session,59,2336,Device,Resolved,dhclient fails when system clock is near max uint32,Software / Configuration,bookshelf corruption issue/nodelib exception
GGB21E0A409702MN,EFFA Tracking,Stuck Flashing White LED,697,2409,Device,Done,my py baseline config issue,Software / Configuration,Fail to set up. Fix introduced in eero OS v7.4.0+
GGB21E0A339301NR,EFFA Tracking,Ethernet Port Issue - Slow speeds,905,2339,Device,Resolved,ethernet data flow control not enabled in Modem/ONT,Software / Configuration,Ethernet port speed issue
GGB21E0A406201J7,EFFA Tracking,Ethernet Port Issue - Slow speeds,189,2406,Device,Resolved,ethernet data flow control not enabled in Modem/ONT,Software / Configuration,Slower than expected speeds
GGB21E0A3402047B,WRR Triage FA,eero will not turn on (dead after arrival),n/a,,Device,Fail,C457 short to GND,Capacitor Short / Damage,
GGB21E0A339300X6,WRR Triage FA,eero will not turn on (dead after arrival),182,2339,Device,Fail,C404 short to GND,Capacitor Short / Damage,
GGB21E0C442400HK,WRR Triage FA,eero will not turn on (dead after arrival),94,2442,Device,Fail,C448 short to GND,Capacitor Short / Damage,
GGB21E0A340200FD,WRR Triage FA,eero will not turn on (dead after arrival),n/a,,Device,Fail,C617 short to GND,Capacitor Short / Damage,
GGB21E0A415300KW,WRR Triage FA,eero will not turn on (dead after arrival),42,2415,Device,Fail,C404 short to GND,Capacitor Short / Damage,
GGB21E0C501604H9,WRR Triage FA,eero will not turn on (dead after arrival),193,2501,Device,Fail,C448 short to GND,Capacitor Short / Damage,
GGB21E0C4417007G,WRR Triage FA,eero will not turn on (dead after arrival),102,2441,Device,Fail,C448 short to GND,Capacitor Short / Damage,
GGB21E0C501605G9,WRR Triage FA,eero will not turn on (dead after arrival),11,2501,Device,Fail,C401 short to GND,Capacitor Short / Damage,
GGB21E0B4373005H,WRR Triage FA,eero will not turn on (dead after arrival),157,2437,Device,Fail,C448 short to GND,Capacitor Short / Damage,
GGB21E0C501606FX,WRR Triage FA,eero will not turn on (dead after arrival),56,2501,Device,Fail,C448 short to GND,Capacitor Short / Damage,
GGB21E0C501602RV,WRR Triage FA,eero will not turn on (dead after arrival),101,2501,Device,Fail,C448 short to GND,Capacitor Short / Damage,
GGB21E0C439703HX,WRR Triage FA,eero will not turn on (dead after arrival),150,2439,Device,Fail,C448 short,Capacitor Short / Damage,
GGB21E0C502702D9,WRR Triage FA,eero will not turn on (dead after arrival),72,2502,Device,Fail,C448 short to GND,Capacitor Short / Damage,
GGB21E0C501601AD,WRR Triage FA,eero will not turn on (dead after arrival),145,2501,Device,Fail,C401 short to GND,Capacitor Short / Damage,
GGB21E0C441701RV,WRR Triage FA,eero will not turn on (dead after arrival),104,2441,Device,Fail,C443 short to GND,Capacitor Short / Damage,
GGB21E0C501604MA,WRR Triage FA,eero will not turn on (dead after arrival),129,2501,Device,Fail,C401 short to GND,Capacitor Short / Damage,
GGB21E0C442401VK,WRR Triage FA,eero will not turn on (dead after arrival),90,2442,Device,Fail,C443,Capacitor Short / Damage,
GGB21E0C502701ET,WRR Triage FA,eero will not turn on (dead after arrival),116,2502,Device,Fail,C401,Capacitor Short / Damage,
GGB21E0C502402A2,WRR Triage FA,eero will not turn on (dead after arrival),114,2502,Device,Fail,C443 short to GND,Capacitor Short / Damage,
GGB21E0C50160610,WRR Triage FA,eero will not turn on (dead after arrival),133,2501,Device,Fail,C448 short,Capacitor Short / Damage,
GGB21E0C5016059S,WRR Triage FA,eero will not turn on (dead after arrival),55,2501,Device,Fail,C401 short,Capacitor Short / Damage,
GGB21E0C502702Q6,WRR Triage FA,eero will not turn on (dead after arrival),51,2502,Device,Fail,C457 short to GND,Capacitor Short / Damage,
GGB21E0C5016063T,WRR Triage FA,eero will not turn on (dead after arrival),144,2501,Device,Fail,C401 short,Capacitor Short / Damage,
GGB21E0C501606GB,WRR Triage FA,eero will not turn on (dead after arrival),39,2501,Device,Fail,C448 short,Capacitor Short / Damage,
GGB21E0C501604N8,WRR Triage FA,eero will not turn on (dead after arrival),64,2501,Device,Fail,C448 short,Capacitor Short / Damage,
GGB21E0C502702D6,WRR Triage FA,eero will not turn on (dead after arrival),56,2502,Device,Fail,C448 short,Capacitor Short / Damage,
GGB21E0C4424004K,WRR Triage FA,eero will not turn on (dead after arrival),201,2442,Device,Fail,C448 short,Capacitor Short / Damage,
GGB21E0C5016075N,WRR Triage FA,eero will not turn on (dead after arrival),172,2501,Device,Fail,C448 short,Capacitor Short / Damage,
GGB21E0C5016066S,WRR Triage FA,eero will not turn on (dead after arrival),216,2501,Device,Fail,C448 short,Capacitor Short / Damage,
GGB21E0C501602J1,WRR Triage FA,eero will not turn on (dead after arrival),148,2501,Device,Fail,C401 short,Capacitor Short / Damage,
GGB21E0C5016024F,WRR Triage FA,eero will not turn on (dead after arrival),127,2501,Device,Fail,C448 short,Capacitor Short / Damage,
GGB21E0C504704KQ,WRR Triage FA,eero will not turn on (dead after arrival),277,2504,Device,Fail,C448,Capacitor Short / Damage,
GGB21E0C510706GR,WRR Triage FA,eero will not turn on (dead after arrival),196,2510,Device,Fail,C448,Capacitor Short / Damage,
GGB21E0C512301HG,WRR Triage FA,eero will not turn on (dead after arrival),219,2512,Device,Fail,C448,Capacitor Short / Damage,
GGB21E0C506503PV,WRR Triage FA,eero will not turn on (dead after arrival),240,2506,Device,Fail,C401,Capacitor Short / Damage,
GGB21E0C504700R2,WRR Triage FA,eero will not turn on (dead after arrival),310,2504,Device,Fail,C401,Capacitor Short / Damage,
GGB21E0C5275040B,WRR Triage FA,eero will not turn on (dead after arrival),61,2527,Device,Fail,C401,Capacitor Short / Damage,
GGB21E0C502702K1,WRR Triage FA,eero will not turn on (dead after arrival),331,2502,Device,Fail,C401,Capacitor Short / Damage,
GGB21E0C512302QF,WRR Triage FA,eero will not turn on (dead after arrival),133,2512,Device,Fail,C401,Capacitor Short / Damage,
GGB21E0C510706P6,WRR Triage FA,eero will not turn on (dead after arrival),263,2510,Device,Fail,C401,Capacitor Short / Damage,
GGB21E0C507500DS,WRR Triage FA,eero will not turn on (dead after arrival),249,2507,Device,Fail,C401,Capacitor Short / Damage,
GGB21E0C508509B1,WRR Triage FA,eero will not turn on (dead after arrival),281,2508,Device,Fail,C401,Capacitor Short / Damage,
GGB21E0A4112030A,WRR Triage FA,eero will not turn on (dead after arrival),557,2411,Device,Fail,C969,Capacitor Short / Damage,
GGB21E0A33930479,WRR Triage FA,eero will not turn on (dead after arrival),600,2339,Device,Fail,C405,Capacitor Short / Damage,
GGB21E0A336207PJ,WRR Triage FA,eero will not turn on (dead after arrival),655,2336,Device,Fail,C405,Capacitor Short / Damage,
GGB21E0A336200KS,WRR Triage FA,eero will not turn on (dead after arrival),607,2336,Device,Fail,C353,Capacitor Short / Damage,
GGB21E0A336206DA,WRR Triage FA,eero will not turn on (dead after arrival),688,2336,Device,Fail,C457,Capacitor Short / Damage,
GGB21E0A3393059M,WRR Triage FA,eero will not turn on (dead after arrival),613,2339,Device,Fail,C457,Capacitor Short / Damage,
GGB21E0A3365052M,WRR Triage FA,eero will not turn on (dead after arrival),704,2336,Device,Fail,C360,Capacitor Short / Damage,
GGB21E0A336203VX,WRR Triage FA,eero will not turn on (dead after arrival),790,2336,Device,Fail,C1032,Capacitor Short / Damage,
GGB21E0A348700F4,WRR Triage FA,eero will not turn on (dead after arrival),709,2348,Device,Fail,C341,Capacitor Short / Damage,
GGB21E0A33770A98,WRR Triage FA,eero will not turn on (dead after arrival),665,2337,Device,Fail,C459,Capacitor Short / Damage,
GGB21E0A333603BR,WRR Triage FA,eero will not turn on (dead after arrival),816,2333,Device,Fail,C620,Capacitor Short / Damage,
GGB21E0A3472018H,WRR Triage FA,eero will not turn on (dead after arrival),1,2347,Device,Fail,C618,Capacitor Short / Damage,
GGB21E0A33870123,WRR Triage FA,Reset button,61,2338,Device,Pass,NTF,No Defect / NTF,
GGB21E0A350400WX,WRR Triage FA,eero will not turn on (dead after arrival),110,2350,Device,Pass,NTF,No Defect / NTF,
GGB21E0C5225064R,WRR Triage FA,eero will not turn on (dead after arrival),152,2522,Device,Pass,NTF,No Defect / NTF,
GGB21E0C4453039V,WRR Triage FA,eero will not turn on (dead after arrival),145,2445,Device,Pass,NTF,No Defect / NTF,
GGB21E0C511703R3,WRR Triage FA,eero will not turn on (dead after arrival),10,2511,Device,Fail,,Pending Analysis,
GGB21E0C515300F3,WRR Triage FA,Stuck Flashing White,354,2515,Device,Fail,,Pending Analysis,
GGB21E0A348700NS,WRR Triage FA,eero will not turn on (dead after arrival),867,2348,Device,Fail,U1+U4 issue,SoC / IC Failure,
GGB21E0A3393035D,WRR Triage FA,eero will not turn on (dead after arrival),103,2339,Device,Fail,U1+U4 issue,SoC / IC Failure,
GGB21E0A333305P0,WRR Triage FA,eero will not turn on (dead after arrival),570,2333,Device,Fail,U1+U4,SoC / IC Failure,
GGB21E0A33620664,WRR Triage FA,eero will not turn on (dead after arrival),826,2336,Device,Fail,U1+U4,SoC / IC Failure,
GGB21E0A338704VQ,WRR Triage FA,eero will not turn on (dead after arrival),759,2338,Device,Fail,U1+U4,SoC / IC Failure,
GGB21E0C545701B9,WRR Triage FA,eero will not turn on (dead after arrival),169,2545,Device,Fail,U1+U4,SoC / IC Failure,
GGB21E0A338704WM,WRR Triage FA,eero will not turn on (dead after arrival),726,2338,Device,Fail,U1+U4,SoC / IC Failure,
GGB21E0A3504032Q,WRR Triage FA,eero will not turn on (dead after arrival),572,2350,Device,Fail,U1+U4,SoC / IC Failure,
GGB21E0A350704EJ,WRR Triage FA,eero will not turn on (dead after arrival),643,2350,Device,Fail,U1+U4,SoC / IC Failure,
GGB21E0A42170257,WRR Triage FA,eero will not turn on (dead after arrival),481,2421,Device,Fail,U1+U4,SoC / IC Failure,
GGB21E0A421703QH,WRR Triage FA,eero will not turn on (dead after arrival),461,2421,Device,Fail,U1+U4,SoC / IC Failure,
GGB21E0B431303EN,WRR Triage FA,eero will not turn on (dead after arrival),498,2431,Device,Fail,U1+U4,SoC / IC Failure,
GGB21E0A401403AJ,WRR Triage FA,eero will not turn on (dead after arrival),139,2401,Device,Fail,"Surge damage - C527, C1321, C1322, C1323, R737, R738, R739, R740, R800, D4",Surge Damage (multi-component),
